nomask,padbos,padnil
3.2736997604370117,3.2735233306884766,3.2688515186309814
2.939152479171753,2.927034378051758,2.927152633666992
2.740689277648926,2.7230639457702637,2.7227611541748047
2.6449270248413086,2.609539747238159,2.609365940093994
2.5584707260131836,2.5400803089141846,2.523181438446045
2.491129159927368,2.4822239875793457,2.4856724739074707
2.4435553550720215,2.4285478591918945,2.4113380908966064
2.404541492462158,2.399235725402832,2.394949197769165
2.375606060028076,2.345440149307251,2.342669725418091
2.3152284622192383,2.297671318054199,2.2862730026245117
2.2834157943725586,2.304816961288452,2.272918462753296
2.2567763328552246,2.2625741958618164,2.2454214096069336
2.236853837966919,2.214141368865967,2.200810432434082
2.237875461578369,2.197413921356201,2.220592975616455
2.1729846000671387,2.2538442611694336,2.1947078704833984
2.179377555847168,2.1530919075012207,2.1793720722198486
2.1592249870300293,2.1410391330718994,2.176490306854248
2.105424404144287,2.150230884552002,2.1097559928894043
2.1276166439056396,2.103391647338867,2.089934825897217
2.0811097621917725,2.094802141189575,2.0812625885009766
2.0580945014953613,2.05884051322937,2.0319347381591797
2.0687222480773926,2.0600404739379883,2.0557100772857666
2.025724411010742,2.0400898456573486,2.01165771484375
2.0135042667388916,1.9865069389343262,2.0098395347595215
1.990725040435791,1.9697129726409912,1.9928479194641113
1.9707224369049072,1.99413001537323,1.9644324779510498
1.9645363092422485,1.9594587087631226,1.9512251615524292
1.95639169216156,1.9368829727172852,1.9351918697357178
1.9535893201828003,1.9355568885803223,1.9452701807022095
1.9285204410552979,1.913735032081604,1.9291083812713623
1.930528163909912,1.90578293800354,1.8934428691864014
1.9266364574432373,1.890716791152954,1.8958749771118164
1.9093302488327026,1.8880634307861328,1.8856756687164307
1.8773342370986938,1.8791165351867676,1.8906105756759644
1.8726167678833008,1.8622899055480957,1.862369179725647
1.8892742395401,1.8711507320404053,1.84407639503479
1.8534879684448242,1.8370754718780518,1.8424205780029297
1.8497517108917236,1.871809959411621,1.8247315883636475
1.8424403667449951,1.8302078247070312,1.8426069021224976
1.8191676139831543,1.8248766660690308,1.837554693222046
1.8137130737304688,1.8223140239715576,1.8117051124572754
1.8358603715896606,1.8120700120925903,1.7878596782684326
1.8064825534820557,1.7823857069015503,1.7955856323242188
1.8058239221572876,1.777451515197754,1.775388479232788
1.7817192077636719,1.7806206941604614,1.77583646774292
1.7894322872161865,1.7797359228134155,1.7614641189575195
1.7836501598358154,1.752626895904541,1.7578314542770386
1.7607157230377197,1.7604554891586304,1.7658114433288574
1.7681164741516113,1.7488341331481934,1.741379976272583
1.7433130741119385,1.7681171894073486,1.74470055103302
1.7480778694152832,1.7550814151763916,1.736145257949829
1.7458312511444092,1.755919337272644,1.7328779697418213
1.7501320838928223,1.7452038526535034,1.7182843685150146
1.7264645099639893,1.7318158149719238,1.73089599609375
1.735020637512207,1.7231314182281494,1.7091736793518066
1.7305046319961548,1.7070115804672241,1.700441837310791
1.7205588817596436,1.7121084928512573,1.688760757446289
1.704014778137207,1.7103991508483887,1.7129387855529785
1.7207027673721313,1.6884688138961792,1.6871269941329956
1.7009608745574951,1.7150585651397705,1.6993991136550903
1.6990281343460083,1.6891026496887207,1.710768222808838
1.7081700563430786,1.6877275705337524,1.6822175979614258
1.6900057792663574,1.6881859302520752,1.6801517009735107
1.6824688911437988,1.6879463195800781,1.6819902658462524
1.6812664270401,1.6785705089569092,1.6677212715148926
1.6631476879119873,1.678316593170166,1.6539889574050903
1.6878302097320557,1.6575452089309692,1.6478550434112549
1.6524817943572998,1.6617705821990967,1.658599615097046
1.6712394952774048,1.6656438112258911,1.6672468185424805
1.6587249040603638,1.649754285812378,1.659956693649292
1.6618585586547852,1.6487765312194824,1.6493370532989502
1.6584484577178955,1.6554949283599854,1.638436198234558
1.665643334388733,1.638768196105957,1.628178596496582
1.6395542621612549,1.641106367111206,1.6297012567520142
1.6405143737792969,1.6249492168426514,1.6330881118774414
1.6570663452148438,1.6404335498809814,1.6264913082122803
1.6359905004501343,1.6225714683532715,1.620237946510315
1.6587812900543213,1.6443499326705933,1.623711109161377
1.6519126892089844,1.6165457963943481,1.6233192682266235
1.629145622253418,1.6242080926895142,1.6203193664550781
1.6226177215576172,1.6025075912475586,1.6031365394592285
1.6373023986816406,1.5995409488677979,1.607029914855957
1.6197423934936523,1.61732816696167,1.62107253074646
1.6143438816070557,1.6116214990615845,1.5941333770751953
1.60780668258667,1.6117641925811768,1.6182410717010498
1.6122288703918457,1.5918347835540771,1.603758692741394
1.6019539833068848,1.5885385274887085,1.611025094985962
1.6013158559799194,1.5962886810302734,1.6008212566375732
1.6002213954925537,1.580941915512085,1.5855286121368408
1.594650149345398,1.5955662727355957,1.5797778367996216
1.6038049459457397,1.591170310974121,1.5971404314041138
1.5984807014465332,1.5779497623443604,1.5813908576965332
1.5935536623001099,1.5808353424072266,1.5900683403015137
1.5790244340896606,1.5833942890167236,1.5720207691192627
1.589281678199768,1.5898747444152832,1.5880062580108643
1.5727193355560303,1.5652092695236206,1.5823824405670166
1.5891597270965576,1.591795563697815,1.573948860168457
1.58491849899292,1.588163137435913,1.5669593811035156
1.5906851291656494,1.5750682353973389,1.5780808925628662
1.5920835733413696,1.560591220855713,1.5582983493804932
1.5848865509033203,1.562794804573059,1.5668710470199585
1.570967435836792,1.5669405460357666,1.5694087743759155
1.5780599117279053,1.5611224174499512,1.5584712028503418
1.563525676727295,1.5568476915359497,1.5432052612304688
1.5650898218154907,1.5491769313812256,1.554597020149231
1.5653162002563477,1.5557212829589844,1.5612188577651978
1.5672533512115479,1.556886911392212,1.5634453296661377
1.5740511417388916,1.5468249320983887,1.5638822317123413
1.5806639194488525,1.5559606552124023,1.5624572038650513
1.5595312118530273,1.5522602796554565,1.5410637855529785
1.5693261623382568,1.547818660736084,1.546891689300537
1.5643820762634277,1.5517973899841309,1.5355993509292603
1.5485787391662598,1.5366535186767578,1.5362424850463867
1.5464749336242676,1.5464508533477783,1.535384178161621
1.5616425275802612,1.5394446849822998,1.5388007164001465
1.547764539718628,1.550706386566162,1.538116693496704
1.5334172248840332,1.5474532842636108,1.535660982131958
1.5543594360351562,1.5310778617858887,1.5402579307556152
1.5493292808532715,1.528191328048706,1.5387201309204102
1.552058219909668,1.532548189163208,1.5325520038604736
1.5619624853134155,1.5344566106796265,1.5321221351623535
1.5417966842651367,1.531738519668579,1.5463073253631592
1.534050703048706,1.5374135971069336,1.5308778285980225
1.525329351425171,1.5368995666503906,1.535538673400879
1.5317199230194092,1.5405824184417725,1.5271295309066772
1.5348063707351685,1.532655954360962,1.5309319496154785
1.5234007835388184,1.5334357023239136,1.5213651657104492
1.5332655906677246,1.5387930870056152,1.5096549987792969
1.5269603729248047,1.5243723392486572,1.5342950820922852
1.5221505165100098,1.512147307395935,1.51873779296875
1.5427168607711792,1.5121676921844482,1.504387617111206
1.5268316268920898,1.5187113285064697,1.5116488933563232
1.5284502506256104,1.5099496841430664,1.5182298421859741
1.5158542394638062,1.518538236618042,1.5083236694335938
1.5322422981262207,1.5139840841293335,1.5067319869995117
1.5170583724975586,1.5109612941741943,1.5093063116073608
1.522158145904541,1.5132627487182617,1.502880573272705
1.5196435451507568,1.5183868408203125,1.5141595602035522
1.5158803462982178,1.5118902921676636,1.5188450813293457
1.5127073526382446,1.5114130973815918,1.5189661979675293
1.5151259899139404,1.5168358087539673,1.501898169517517
1.4906604290008545,1.5095036029815674,1.510656714439392
1.5111784934997559,1.5134754180908203,1.4958218336105347
1.5260515213012695,1.505090355873108,1.5062998533248901
1.5084502696990967,1.5099763870239258,1.5049591064453125
1.498313546180725,1.5082778930664062,1.495872974395752
1.5077273845672607,1.4937467575073242,1.496434211730957
1.4958544969558716,1.4984854459762573,1.4975857734680176
1.5084800720214844,1.5058672428131104,1.4930081367492676
